date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:11	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
21:30:11	32372/32372	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202019%2008:22:11%20GMT	https://colorlib.com/preview/theme/plataforma/	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/index.html	(from )
21:30:11	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966be-24fb%22	https://colorlib.com/preview/theme/plataforma/css/open-iconic-bootstrap.min.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:11	56663/56663	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966ba-11fa9%22	https://colorlib.com/preview/theme/plataforma/css/animate.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/animate.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:12	3440/3440	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966be-d70%22	https://colorlib.com/preview/theme/plataforma/css/owl.carousel.min.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:12	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bf-3c5%22	https://colorlib.com/preview/theme/plataforma/css/owl.theme.default.min.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:12	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bd-1b26%22	https://colorlib.com/preview/theme/plataforma/css/magnific-popup.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/magnific-popup.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:12	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966ba-657f%22	https://colorlib.com/preview/theme/plataforma/css/aos.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/aos.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:13	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bc-b6e0%22	https://colorlib.com/preview/theme/plataforma/css/ionicons.min.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/ionicons.min.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:13	16329/16329	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bb-4619%22	https://colorlib.com/preview/theme/plataforma/css/bootstrap-datepicker.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:13	1426/1426	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bd-634%22	https://colorlib.com/preview/theme/plataforma/css/jquery.timepicker.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/jquery.timepicker.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:13	1135/1135	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bb-5a6%22	https://colorlib.com/preview/theme/plataforma/css/flaticon.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/flaticon.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:13	66594/66594	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966bc-13803%22	https://colorlib.com/preview/theme/plataforma/css/icomoon.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/icomoon.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:14	207079/207079	---MCZ	200	added ('OK')	text/css	etag:W/%225d3966c0-3f5a2%22	https://colorlib.com/preview/theme/plataforma/css/style.css	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/css/style.css	(from https://colorlib.com/preview/theme/plataforma/)
21:30:14	32372/32372	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202019%2008:22:11%20GMT	https://colorlib.com/preview/theme/plataforma/index.html	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/index-2.html	(from https://colorlib.com/preview/theme/plataforma/)
21:30:15	15061/15061	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202019%2008:22:09%20GMT	https://colorlib.com/preview/theme/plataforma/about.html	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/about.html	(from https://colorlib.com/preview/theme/plataforma/)
21:30:15	11269/11269	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202019%2008:22:13%20GMT	https://colorlib.com/preview/theme/plataforma/speakers.html	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/speakers.html	(from https://colorlib.com/preview/theme/plataforma/)
21:30:16	17489/17489	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202019%2008:22:12%20GMT	https://colorlib.com/preview/theme/plataforma/schedule.html	C:/Users/Samir%20Bhattacharje/Desktop/SATWIKA/WIEmpower20/colorlib.com/preview/theme/plataforma/schedule.html	(from https://colorlib.com/preview/theme/plataforma/)
